IDCONO|IDSUNO|IDSUTY|IDSUNM|IDALSU|IDSTAT|IDCORG|IDCOR2|IDLNCD|IDPHNO|IDPHN2|IDTLNO|IDTFNO|IDCSCD|IDECAR|IDDTFM|IDEDIT|IDVRNO|IDSUCO|IDSUAL|IDSUCM|IDMEPF|IDPODA|IDCFI1|IDCFI2|IDCFI3|IDCFI4|IDCFI5|IDHAFE|IDDESV|IDTIZO|IDFWSC|IDTXID|IDRGDT|IDRGTM|IDLMDT|IDCHNO|IDCHID|IDPPIN|IDLMTS|IDGEOC|IDRASN
1|21119S|5|CHC HELICOPTERS AFRICA|CHC HELICO|90|||GB|||||CI||DMY|||||||0||0|||||GB|||13309418|20041104|120214|20061020|3|YSHAM|0|0|0|
1|21177S|5|RSAF, STL LOG PTE LTD|RSAF, STL|20|||GB|||||SG||DMY|||||||0||0|||||GB|||24435146|20050118|103534|20050118|2|MPETERSE|0|0|0|
1|212S|5|CHI OTHMAN ARABIAN AL-KHAFJI|CHI OTHMAN|20|||GB|||||KW||YMD|||||||0||0|||||GB|||0|20050121|173444|20050121|14|POCHQUEE|0|0|0|
1|212S2|5|OTHMAN ARABIAN AL-KHAFJI (COURIER)|OTHMAN COU|20|||GB|||||KW||YMD|||||||0||0|||||GB|||0|20050121|174624|20050121|17|POCHQUEE|0|0|0|
1|213S|5|SHELL PHILIPPINES A.O.G. ONLY|SHELL PHIL|20|||GB|+63 2 817 8919|+63 2 840 0711|+63 2 810 5269||PH||YMD|||||||0||0|||||GB|||0|20050121|183839|20050121|18|HHAUS|0|0|0|
1|217S|5|PANALPINA|PANALPINA|90|||GB|||||IR||DMY|||||||0||0|||||GB|||0|20051208|104028|20080805|18|ERADOUX|0|0|0|
1|21827S|5|ST. LOGISTICS (CO 2FSD)|ST. LOGIST|20|||GB|||||SG||DMY|||||||0||0|||||GB|||4077860|20040406|144602|20040406|2|MPETERSE|0|0|0|
1|21914S|5|CROSSWAYS SERVICES (USE 40445)|CROSSWAYS|90|||GB|||||ES||YMD|||||||0||0|||||GB|||3478273|20040129|95636|20070206|17|YSHAM|0|0|0|
1|21940S|5|SEIBU TRANSPORTATION|DFDS|20|||GB|||||DK||DMY|||||||0||0|||||GB|||0|20030731|153043|20030731|18|HHAUS|0|0|0|
1|21946S|5|ROYAL JORDANIAN AIRFORCE|ROYAL JORD|20|||GB|74830255|||74830257|NO||DMY|||||||0||0|||||GB|||0|20041001|141148|20041001|4|MPETERSE|0|1390233765854|0|
1|222S|5|UNITED HELICHARTER INDIA (COURIER)|UNITED HEL|20|||GB|||||IN||YMD|||||||0||0|||||GB|||0|20050121|175756|20050121|16|POCHQUEE|0|0|0|
1|25S|5|CHC HELICOPTER AFRICA|CHC HELICO|90|||GB|||||ZA||DMY|||||||0||0|||||GB|||0|20040518|90012|20061020|4|YSHAM|0|1360600072931|0|
1|26S|5|AERÓLEO TÁXI AÉREO S.A.|AERÓLEO TÁ|20|||GB|||||BR||DMY|||||||0||0|||||GB|||0|20050210|124124|20260722|2|ABENAVIDES|0|1784718536419|0|
1|28S|5|SDV TRANSPORT (M) SDN BHD|SPEDISTØR|20|||GB|||||MY||DMY|||||||0|SVGKUL|0|||||GB|||0|20021108|120519|20031014|22|HHAUS|0|0|0|
1|29189|0|NICLAS BJERKÅS, FEIL NR., MÅ SLETTES|BJERKÅS|90|||NO|||||NO||DMY|.||||||0||0|||||NO|||0|20060713|81915|20060713|39|GBIRKELA|0|0|0|
1|30034|0|SPAR AEROSPACE|SPAR|90|||NO|44 81 813 5444|||44 81 813 6330|NO||DMY|.||||||0||0||||||||0|19961008|152025|19961008|2|MVX9KVN|0|0|0|
1|30043|0|SIMPLEX MANUFACTURING COMPANY|SIMPLE|90|||GB|00 1 503 257 85|||00 1 503 257 35|US||DMY|.||||||0|OTHERS|0||||||||0|19961008|152025|19990426|3|BROSENGR|0|0|0|
1|30096|0|TOLLPOST GLOBE AS|TOLLPO|90|||NO|7122 6500|||7122 2161|NO||DMY|.||||||0||0||||||||0|19961008|152027|19961008|2|MVX9KVN|0|0|0|
1|30097|0|FLYGANNONSEN|FLYGAN|90|||GB|417 51 11 96||||SG||DMY|.||||||0||0||||||||0|19961008|152027|19961008|2|MVX9KVN|0|0|0|
1|30098|0|JOHANSEN TECHNOMEK|JOHANS|90|||NO|33 45 30 35|||33 45 37 38|NO||DMY|.||||||0||0||||||||0|19961008|152027|19961008|2|MVX9KVN|0|0|0|
1|30100|0|BRAATHENS|BRAATH|90|910763644||NO|67597000|||67591309|NO||DMY|.||||||0||0||||||||0|19961008|152028|20010328|4|J_GUDMESTA|0|0|0|
1|30102|0|SFK MULTITECH AS|SFK MU|90|||NO|22 30 71 70||||NO||DMY|.||||||0||0||||||||0|19961008|152028|19961008|2|MVX9KVN|0|0|0|
1|30103|0|ELFA SKANDINAVIA AS|ELFA|90|||NO|80010136|||80010135|NO||DMY|.||||||0||0||||||||0|19961008|152028|19991103|8|RGUNDERS|0|0|0|
1|30104|0|NOR CARGO OSLO SJØ AS|NORCAR|90|||NO|22 83 15 60|||22 83 64 41|NO||DMY|.||||||0||0||||||||0|19961008|152028|19961008|2|MVX9KVN|0|0|0|
1|30105|0|FELLESTRANSPORT AS|FELLES|90|||NO|67 52 42 01|||67 52 42 00|NO||DMY|.||||||0||0||||||||0|19961008|152028|19961008|2|MVX9KVN|0|0|0|
1|30106|0|HOTEL KONG CARL|HOTEL|90|||NO|33 46 31 17|||33 46 31 19|NO||DMY|.||||||0||0||||||||0|19961008|152028|19961008|2|MVX9KVN|0|0|0|
1|30107|0|WIDERØE NORSK AIR|WIDERØ|90|||NO|33 46 90 00|||33 47 03 25|NO||DMY|.||||||0||0||||||||0|19961008|152028|19991220|4|MNORDBER|0|0|0|
1|30109|0|ARTHUR F. ULRICHSEN|AFU|90|||NO|00 35 02 10|||22 37 91 44|NO||DMY|.||||||0||0||||||||0|19961008|152028|19991013|4|JARILD|0|0|0|
1|30115|0|FOTONOR AS|FOTONO|90|||NO|67 53 22 80|||67 12 22 98|NO||DMY|.||||||0||0||||||||0|19961008|152028|19961008|2|MVX9KVN|0|0|0|
1|30119|0|NORGES EKSPORTRÅD|NORGES|90|||NO|22 92 63 00|||22 92 64 00|NO||DMY|.||||||0||0||||||||0|19961008|152029|19991206|5|J_GUDMESTA|0|0|0|
1|30120|0|TREND TEC CANADA|TREND|90|||GB|705 522 4071|||705 522 1897|CA||DMY|.||||||0||0||||||||0|19970122|145600|19970122|2|MVX9KVN|0|0|0|
1|30123|0|HELIFLYG AB|HELIFL|90|||GB|||||SE||DMY|.||||||0||0||||||||0|19970122|145600|19970122|2|MVX9KVN|0|0|0|
1|30124|0|REDBOX INTERNATIONAL LTD|REDBOX|20|||GB|44 1794 518888|||44 1794 5148|GB||DMY|.||||||0||0|||||GB|||64347|19970122|145600|20170301|29|LEIF|0|1488372530147|0|
1|30125|0|MJØNDALEN BLOMSTER|MJØNDA|90|||NO|32878024||||NO||DMY|.||||||0||0||||||||0|19970122|145600|19970122|2|MVX9KVN|0|0|0|
1|30127|0|E.N. MURRAY COMPANY INC.|MURRAY|90|||GB|8008210659|||3038257855|US||DMY|.||||||0||0||||||||0|19970122|145600|19970122|2|MVX9KVN|0|0|0|
1|30129|0|AEROTECH|AEROTE|90|||GB|||||US||DMY|.||||||0||0||||||||0|19970122|145600|20021023|4|MCALDER|0|0|0|
1|30130|0|N.A. EIE|NE EIE|90|||NO|73 51 05 52|||73 53 52 90|NO||DMY|.||||||0||0||||||||0|19970122|145600|19970122|2|MVX9KVN|0|0|0|
1|30131|0|ROTOR KONSULT AB|ROTOR KONS|90|||NO|||||NO||DMY|.||||||0||0|||||NO|||0|19970213|201843|20040116|17|LNIKOLAYEV|0|0|0|
1|30132|0|AERONAUTICAL ACCESSORIES|AERONAUTIC|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19970213|201855|20000324|18|IMIELE|0|0|0|
1|30133|0|RADISSON SAS|RADISSON|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19970213|201903|19970714|17|J_GUDMESTA|0|0|0|
1|30134|0|LAPPLANDSFLYG AB|LAPPLANDSF|90|556092-3020||GB|00 90 12 90 50|||00 90 12 90 55|SE||DMY|.||||||0||0||||||||0|19970304|103857|19991008|22|J_GUDMESTA|0|0|0|
1|30135|0|FOTO OG DATA HUSET A/S|FOTO|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19970312|105732|19970312|12|M_RØSSLAND|0|0|0|
1|30136|0|HELICOPTER SUPPORT|HSI|90|||GB|||||US||DMY|.||||||0||0||||||||0|19970415|80334|20021112|9|AGALLACH|0|0|0|
1|30137|0|S-GRUPPEN ASA|S-GRUPPEN|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19970415|82359|19970415|4|M_RØSSLAND|0|0|0|
1|30138|0|RUN TIME A/S|S-GRUPPEN|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19970507|121928|19970507|6|M_RØSSLAND|0|0|0|
1|30139|0|JAHRE MOTOR AS|JAHRE MOTO|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19970711|152647|19970711|8|J_GUDMESTA|0|0|0|
1|30141|0|B&D INSTRUMENTS AND AVIONICS INC.|B&D INSTRU|90|||GB|||||US||DMY|.||||||0||0||||||||0|19970711|155401|20020717|13|ELINDHOL|0|0|0|
1|30142|0|ONBOARD SYSTEMS|ONBOARD|90|||GB|1800-275-0883|||360-546-3073|US||DMY|.||||||0||0|||||GB|||348559741|19970711|155723|20070130|9|YSHAM|0|0|0|
1|30143|0|FORSVARETS FORSYNINGSKOMMANDO|FORSVA|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19970812|105537|19970812|4|M_RØSSLAND|0|0|0|
1|30144|0|GTS NORGE AS(FAKTAB FINANS)|GTS/FAKTAB|90|976 908 066||NO|38 12 09 99|||38 12 09 98|NO||DMY|.||||||0||0||||||||0|19970812|105849|20001106|20|J_GUDMESTA|0|0|0|
1|30145|0|HAWKER PACIFIC INC|HAWKER|90|||GB|||||US||DMY|.||||||0||0|||||GB|||0|19970813|161339|20030918|9|JHONG|0|0|0|
1|30146|0|HELIVALUES INC|HELIVALUES|90|||GB|00 847 487 8258|||00 847 487 0206|US||DMY|.||||||0||0||||||||0|19970911|125310|19991014|14|J_GUDMESTA|0|0|0|
1|30147|0|DET LILLE KONTOR AS|DET LILLE|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19971007|102819|19981009|7|J_GUDMESTA|0|0|0|
1|30148|0|ALVA STUDIO|ALVA|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19971111|81407|19971111|8|J_GUDMESTA|0|0|0|
1|30149|0|ENVIRONMENTAL EQUIPMENTS|ENVIRONMEN|90|||GB|||||GB||DMY|.||||||0||0||||||||0|19980115|151957|19980710|16|J_GUDMESTA|0|0|0|
1|30150|0|PAPPERIX A.S.|PAPPERIX|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980116|81928|19980116|10|J_GUDMESTA|0|0|0|
1|30151|0|CREDITINFORM A.S.|CREDIT|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980116|82142|19980116|10|J_GUDMESTA|0|0|0|
1|30152|0|AVIONICS NORTHWEST|AVIONICS|90|||GB|||||US||DMY|.||||||0||0||||||||0|19980120|111722|19980120|8|J_GUDMESTA|0|0|0|
1|30153|0|RACAL AVIONICS LIMITED|RACAL|90|||GB|||||GB||DMY|.||||||0||0||||||||0|19980120|122445|20011210|24|SEGELAND|0|0|0|
1|30154|0|BELL INTERNATIONAL REPRESENTATIVE|BELL|90|||GB|||||US||DMY|.||||||0||0||||||||0|19980120|135529|19980120|8|J_GUDMESTA|0|0|0|
1|30155|0|JAMTLANDS FLYG AB|JAMTLAND|90|||GB|||||SE||DMY|.||||||0||0||||||||0|19980226|142407|19980226|10|J_GUDMESTA|0|0|0|
1|30156|0|SVEBO SVEIS & LØFT|SVEBO|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980226|142637|19980226|11|J_GUDMESTA|0|0|0|
1|30157|0|MECHANICAL SPECIALTIES|MECHANICAL|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980226|142738|19980226|12|J_GUDMESTA|0|0|0|
1|30158|0|BF GOODRICH|BF GOODRIC|90|||GB|||||US||DMY|.||||||0||0|||||GB|||0|19980226|151210|20031025|16|JHONG|0|0|0|
1|30159|0|HEITMANN|HEITMANN|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980227|85812|19980227|15|J_GUDMESTA|0|0|0|
1|30160|0|ABRA SERVICESYSTEM A/S|ABRA|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980317|90914|19980317|13|J_GUDMESTA|0|0|0|
1|30161|0|SOFTWARE INNOVATION AVD. VEGA AS|SOFTWARE|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980317|122719|19991112|17|J_GUDMESTA|0|0|0|
1|30162|0|HELICOP AIR|HELICOP|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980317|151038|19980317|20|J_GUDMESTA|0|0|0|
1|30163|0|DRS TECHNOLOGIES|DRS TECHNO|90|||GB|||||GB||DMY|.||||||0||0||||||||0|19980420|171926|19980420|21|J_GUDMESTA|0|0|0|
1|30164|0|KAPITAL|KAPITAL|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980514|135149|19980514|15|J_GUDMESTA|0|0|0|
1|30165|0|ART SUPPLY AS V/ CREDITTSERVICE|ART SUPPLY|90|||NO|||||||DMY|.||||||0||0||||||||0|19980514|141135|19980710|25|J_GUDMESTA|0|0|0|
1|30166|0|STERLING PUBLICATIONS LIMITED|STERLING|90|||GB|||||GB||DMY|.||||||0||0||||||||0|19980514|142835|19980514|22|J_GUDMESTA|0|0|0|
1|30167|0|DAGENS NÆRINGSLIV|DAGENS NÆR|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980514|143641|19980514|16|J_GUDMESTA|0|0|0|
1|30168|0|AAS AEROTECHNIK|AAS AEROTE|90|||NO|31 20 6595156|||31 20 6596777|||DMY|.||||||0||0||||||||0|19980515|131048|19980515|15|J_GUDMESTA|0|0|0|
1|30169|0|KOMPLETT DATA SANDEFJORD|KOMPLETT|90|||NO|33 48 96 00|||33 48 96 01|||DMY|.||||||0||0||||||||0|19980617|141056|19980617|17|J_GUDMESTA|0|0|0|
1|30170|0|NORSK-TYSK HANDELSKAMMER|NORSK|90|||NO|22 12 82 10|||22 12 82 22|||DMY|.||||||0||0||||||||0|19980617|141306|19980710|19|J_GUDMESTA|0|0|0|
1|30171|0|SAS (STOPPET)|SAS|90|||NO|||||||DMY|.||||||0||0||||||||0|19980617|143233|19990210|24|J_GUDMESTA|0|0|0|
1|30172|0|NORGES STANDARDISERINGSFORBUND|NORGES|90|||NO|22049200|||22049211|NO||DMY|.||||||0||0||||||||222142|19980713|91547|20010905|33|IMIELE|0|0|0|
1|30173|0|SELECT DESIGN|SELECT|90|||NO|||||||DMY|.||||||0||0||||||||0|19980713|92327|19980713|23|J_GUDMESTA|0|0|0|
1|30174|0|TELENOR STOPPET|TELENOR NE|90|||NO|||||||DMY|.||||||0||0||||||||0|19980818|151721|19990505|25|J_GUDMESTA|0|0|0|
1|30175|0|AVIATION INSTRUMENT SERVICES INC.|AVIATION|90|||GB|0013052517200|||0013052512300|US||DMY|||||||0|OEMOTHERS|0|||||GB|||39688|19980818|154526|20121206|42|LEIF|0|1354789709823|0|
1|30176|0|INFORMA FERIE|INFORMA|90|||NO|||||||DMY|.||||||0||0||||||||0|19980818|163504|19980818|26|J_GUDMESTA|0|0|0|
1|30177|0|SVEIN LARSEN OFFSETTRYKKERI AS|SVEIN|90|||NO|||||||DMY|.||||||0||0||||||||0|19980818|165001|19980818|27|J_GUDMESTA|0|0|0|
1|30178|0|RESPONS SYSTEM PARTNER AS|RESPONS|90|||NO|||||||DMY|.||||||0||0||||||||0|19980818|165526|19980818|28|J_GUDMESTA|0|0|0|
1|30179|0|KONTORPARTNER VEST AS|KONTORPART|90|||NO|||||||DMY|.||||||0||0||||||||0|19980818|174924|19980818|29|J_GUDMESTA|0|0|0|
1|30180|0|XEROX AS|XEROX|90|||NO|||||NO||DMY|.||||||0||0|||||NO|||0|19980914|145552|20030623|31|BROSENGR|0|0|0|
1|30181|0|OSLO HANDELSKAMMER|OSLO HANDE|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980914|150313|19990615|33|J_GUDMESTA|0|0|0|
1|30182|0|BÆRUM BLOMST|BÆRUM BLOM|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19980914|151814|19980914|32|J_GUDMESTA|0|0|0|
1|30183|0|SAS / JETPAK|SAS/JETPAK|90|961 510 740||NO|64 81 83 08|||64 81 84 80|NO||DMY|.||||||0||0||||||||0|19980914|154257|20000105|43|J_GUDMESTA|0|0|0|
1|30184|0|UNIVERSAL FDX A/S|UNIVER|90|976819152||NO|67528390|||67528399|||DMY|.||||||0||0||||||||0|19981012|142058|19981012|29|J_GUDMESTA|0|0|0|
1|30185|0|BINDERS OSLO|BINDER|90|968993038||NO|22885740|||22885741|NO||DMY|.||||||0||0||||||||0|19981105|93119|19991008|34|J_GUDMESTA|0|0|0|
1|30186|0|MCTURBINE|MCTURB|90|||NO|0015128511290|||0015128519322|NO||DMY|.||||||0||0||||||||0|19981110|102120|19991008|34|J_GUDMESTA|0|0|0|
1|30187|0|CARIBONUM|CARIBONUM|90|910992333||NO|22688364|||22687118|NO||DMY|.||||||0||0||||||||0|19981208|160033|19981208|32|J_GUDMESTA|0|0|0|
1|30188|0|AERO PRODUCTS|AERO|90|||NO|0015128511290|||0015128519322|NO||DMY|.||||||0||0|||||NO|||0|19981209|100739|20050825|42|EMITCHEL|0|0|0|
1|30189|0|NORSKE LIV|NORSKE LIV|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19981209|113140|20000111|35|J_GUDMESTA|0|0|0|
1|30190|0|AIR SUPPORT LTD.|AIR SUPPOR|90|620995134||GB|0015128511290|||0015128519322|GB||DMY|.||||||0||0||||||||0|19981214|142206|19990109|33|J_GUDMESTA|0|0|0|
1|30191|0|HELITECHNIQUE LTD.|HELITECHNI|90|418 6879 06||GB|0001203305655|||0001203305073|GB||DMY|.||||||0||0|||||GB|||0|19981214|142656|20060316|38|RPOLLEN|0|0|0|
1|30192|0|HELIFLY INVEST A/S|HELIFLY|90|879420962||NO|33423480|||33423490|NO||DMY|.||||||0||0||||||||0|19990109|103553|20001002|41|J_GUDMESTA|0|0|0|
1|30193|0|EUKLEEN SERVICES|EUKLEEN AS|90|877 263 142||NO|32 20 63 00|||32 20 63 01|NO||DMY|.||||||0||0||||||||0|19990109|104250|19991008|40|J_GUDMESTA|0|0|0|
1|30194|0|NOR-CARGO|NOR-CARGO|90|932 725 967||NO|22 81 20 00|||22 81 20 11|NO||DMY|.||||||0||0||||||||0|19990113|160158|19991008|41|J_GUDMESTA|0|0|0|
1|30195|0|FEDEX|FEDEX|90|976 819 152||NO|67 52 83 90|||67 52 83 99|NO||DMY|.||||||0||0|||||NO|||0|19990113|191152|20030108|41|JMCBEATH|0|0|0|
1|30196|0|APOLLO BUDBILER AS|APOLLO|90|964 962 022||NO|810 00 123|||32 88 20 09|NO||DMY|.||||||0||0||||||||0|19990113|192552|19990113|41|J_GUDMESTA|0|0|0|
1|30197|0|NORSKE FORSVARSLEVERANSER|NORSKE|90|||NO|22965000||||NO||DMY|.||||||0||0||||||||0|19990210|85110|19990210|6|J_GUDMESTA|0|0|0|
1|30198|0|NOSCA C/O ABSORBERINGSTEKNIKK AS|NOSCA|90|||NO|22302870|||22302840|NO||DMY|.||||||0||0||||||||0|19990210|85411|19990210|7|J_GUDMESTA|0|0|0|
1|30199|0|R.S.D. SALES CO., INC.|R.S.D.|90|||GB|005163545220|||005163544762|US||DMY|.||||||0||0||||||||0|19990210|90800|19990210|35|J_GUDMESTA|0|0|0|
1|30200|0|A/S NORRØNAFLY|NORRØNAFLY|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19990210|91204|19990817|46|J_GUDMESTA|0|0|0|
1|30201|0|WILSON A/S (AIRFRIGHT)|WILSON|90|||NO|||||NO||DMY|.||||||0||0||||||||0|19990211|132741|19990211|43|J_GUDMESTA|0|0|0|
1|30202|0|BOND|BOND|90|620995134||GB|001224722722|||001224775900|GB||DMY|.||||||0||0||||||||0|19990212|140502|19990212|34|J_GUDMESTA|0|0|0|
1|30203|0|GARLICK HELICOPTERS, INC.|GARLICK|90|||GB|004063636121|||004063636124|GB||DMY|.||||||0||0||||||||0|19990212|143520|19990212|35|J_GUDMESTA|0|0|0|
1|30204|0|AIR SHUNT INSTRUMENTS|AIR SHUNT|20|||GB|008055294486|||008055295872|GB||DMY|.||||||0|OTHERS|0|||||GB|||0|19990212|143827|20100407|40|RBAKKER|0|0|0|
1|30205|0|PACIFIC AIR LOGISTICS, INC.|PACIFIC|90|||GB|008052516581|||008052987035|GB||DMY|.||||||0||0||||||||0|19990212|144307|20020731|40|ETONNESS|0|0|0|
1|30206|0|FRITZ COMPANIES NORWAY AS|FRITZ|90|976682157||NO|22919400|||22919401|NO||DMY|.||||||0||0||||||||0|19990212|150044|19990212|39|J_GUDMESTA|0|0|0|
1|30207|0|AVIA PRESS ASSOCIATES|AVIA PRESS|90|||GB|00 44 1934822524|||00 44 1934822400|GB||DMY|.||||||0||0||||||||0|19990309|111544|19990309|40|J_GUDMESTA|0|0|0|
1|30208|0|WILMINGTON PUBLISHING LTD|WILMINGTON|90|586 6457 84||GB|00 44 1322277788|||00 44 1322284447|GB||DMY|.||||||0||0||||||||0|19990309|112014|19990309|41|J_GUDMESTA|0|0|0|
1|30209|0|AVIO MEC LTD.|AVIO MEC|90|||GB|||||GB||DMY|.||||||0||0||||||||0|19990309|124724|19990309|42|J_GUDMESTA|0|0|0|
1|30210|0|PANVULK|PANVULK|90|960 967 488||NO|22 50 41 95|||22 52 59 65|NO||DMY|.||||||0||0||||||||0|19990413|162930|19990413|45|J_GUDMESTA|0|0|0|
1|30211|0|WESSEX AEROSPACE|WESSEX|90|||GB|00 44 1580830083|||00 44 1580830666|GB||DMY|.||||||0||0||||||||0|19990413|163224|19990413|46|J_GUDMESTA|0|0|0|
1|30212|0|NOTAR ADVOKAT|NOTAR|90|971 583 819||NO|67 56 90 00|||67 56 92 20|NO||DMY|.||||||0||0||||||||0|19990413|165825|19990413|47|J_GUDMESTA|0|0|0|
1|30213|0|PRECISION HELIPARTS, INC.|PRECISION|90|||GB|00 404 768 9090|||00 404 768 9006|GB||DMY|.||||||0||0||||||||0|19990414|140312|19990414|48|J_GUDMESTA|0|0|0|
